creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date
meta,23853495166960408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23853495166960408_23853495166960408_facebook_9.jpeg,,162944269,91821.0,"R$ 1.598.450,29",16/01/2023,16/09/2023
36gb-59m,120212279474490197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120212279474490197_120212279474490197_facebook_9.jpeg,,133051947,347340.0,"R$ 1.162.848,52",29/04/2024,04/06/2024
btl,120216228088720197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120216228088720197_120216228088720197_facebook_9.jpeg,,115166680,349199.0,"R$ 1.038.520,45",02/10/2024,02/11/2024
meta,23853929965440408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23853929965440408_23853929965440408_facebook_9.jpeg,,113697444,62329.0,"R$ 977.118,87",17/02/2023,06/07/2023
facebook,120202708184650197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120202708184650197_120202708184650197_facebook_9.jpeg,,105494787,325067.0,"R$ 960.523,79",01/11/2023,02/12/2023
interesses-relacionados,120212235464610750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120212235464610750_120212235464610750_facebook_9.jpeg,,104512044,48882.0,"R$ 951.657,72",24/07/2024,10/08/2024
kv-hero,120225993439090197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120225993439090197_120225993439090197_facebook_9.jpeg,,99245412,282448.0,"R$ 937.750,48",09/04/2025,19/06/2025
facebook,120204030334260197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204030334260197_120204030334260197_facebook_9.jpeg,,98154355,263611.0,"R$ 924.230,63",01/12/2023,20/02/2024
facebook,120214599650000197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120214599650000197_120214599650000197_facebook_9.jpeg,,94713444,268896.0,"R$ 891.673,59",24/07/2024,24/08/2024
facebook,120204042192490197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204042192490197_120204042192490197_facebook_9.jpeg,,92553334,252206.0,"R$ 884.004,70",01/12/2023,08/02/2024
