creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date
dia-das-maes,120224846651260750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120224846651260750_120224846651260750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120224846651260750_120224846651260750_facebook_9.mp4,87704282,61817.0,"R$ 858.010,82",24/04/2025,08/05/2025
manifesto,120222134179010439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120222134179010439_120222134179010439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120222134179010439_120222134179010439_facebook_9.mp4,70817269,59866.0,"R$ 632.502,50",18/03/2025,16/05/2025
dia-das-maes,120224851629550750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120224851629550750_120224851629550750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120224851629550750_120224851629550750_facebook_9.mp4,44724623,31805.0,"R$ 451.907,42",24/04/2025,08/05/2025
kv-hero,120225995554260197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120225995554260197_120225995554260197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120225995554260197_120225995554260197_facebook_9.mp4,40207753,129991.0,"R$ 414.749,52",09/04/2025,19/06/2025
chegada-praca,120231943255310409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120231943255310409_120231943255310409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120231943255310409_120231943255310409_facebook_9.mp4,34161060,32068.0,"R$ 337.166,41",22/07/2025,13/09/2025
pre-pago,120219253407260370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5006651156112143_120219253407260370_120219253407260370_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5006651156112143_120219253407260370_120219253407260370_facebook_9.mp4,33769190,16825.0,"R$ 336.053,46",01/01/2025,31/01/2025
,120221763466840439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120221763466840439_120221763466840439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120221763466840439_120221763466840439_facebook_9.mp4,31144711,18521.0,"R$ 300.337,61",18/03/2025,13/05/2025
timmusic-ing-esgotado-teste-a,120221761713210439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120221761713210439_120221761713210439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120221761713210439_120221761713210439_facebook_9.mp4,31050576,17980.0,"R$ 288.925,20",18/03/2025,13/05/2025
,120206883689890348,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/557249762645654_120206883689890348_120206883689890348_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/557249762645654_120206883689890348_120206883689890348_facebook_9.mp4,26759844,39.0,"R$ 240.976,53",31/12/2023,01/01/2024
timmusic-teste-a,120221258109400439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120221258109400439_120221258109400439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120221258109400439_120221258109400439_facebook_9.mp4,25920193,12333.0,"R$ 223.436,51",18/03/2025,07/05/2025
timmusic-teste-b,120221462952990439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120221462952990439_120221462952990439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120221462952990439_120221462952990439_facebook_9.mp4,25218788,14617.0,"R$ 214.578,22",18/03/2025,07/05/2025
dia-dos-pais,120231654414330750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120231654414330750_120231654414330750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120231654414330750_120231654414330750_facebook_9.mp4,21069433,15986.0,"R$ 183.332,70",22/07/2025,16/08/2025
hero,120226286379710409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120226286379710409_120226286379710409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120226286379710409_120226286379710409_facebook_9.mp4,20925039,18349.0,"R$ 181.470,04",12/05/2025,21/05/2025
kv-hero-bbb,120246230956180197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120246230956180197_120246230956180197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120246230956180197_120246230956180197_facebook_9.mp4,20801648,240695.0,"R$ 177.553,09",23/01/2026,10/02/2026
dia-dos-pais,120231654370440750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120231654370440750_120231654370440750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120231654370440750_120231654370440750_facebook_9.mp4,20663387,16376.0,"R$ 176.413,33",22/07/2025,15/08/2025
interesses-relacionados,120217341319390370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5006651156112143_120217341319390370_120217341319390370_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5006651156112143_120217341319390370_120217341319390370_facebook_9.mp4,20343430,389918.0,"R$ 172.307,11",14/10/2024,11/12/2024
kv-hero,120231934131370197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120231934131370197_120231934131370197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120231934131370197_120231934131370197_facebook_9.mp4,19225828,62047.0,"R$ 167.204,42",18/06/2025,08/07/2025
recarga-premiada,120224960779940370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5006651156112143_120224960779940370_120224960779940370_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5006651156112143_120224960779940370_120224960779940370_facebook_9.mp4,19194107,10005.0,"R$ 166.840,66",01/04/2025,30/04/2025
chegada-praca,120231942733830409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120231942733830409_120231942733830409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120231942733830409_120231942733830409_facebook_9.mp4,18813274,13624.0,"R$ 165.500,53",22/07/2025,06/10/2025
hero,120227596169900409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120227596169900409_120227596169900409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120227596169900409_120227596169900409_facebook_9.mp4,18737297,15657.0,"R$ 163.531,46",12/05/2025,22/05/2025
pre-pago,120220329281090370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5006651156112143_120220329281090370_120220329281090370_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5006651156112143_120220329281090370_120220329281090370_facebook_9.mp4,17360617,9684.0,"R$ 150.624,49",01/02/2025,18/02/2025
hero-mensagem-chegou,120218765427320409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120218765427320409_120218765427320409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120218765427320409_120218765427320409_facebook_9.mp4,16586066,37453.0,"R$ 148.359,29",10/02/2025,04/05/2025
