creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date,filename,category
meta,23853495166960408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23853495166960408_23853495166960408_facebook_9.jpeg,,162944269,91821.0,"R$ 1.598.450,29",16/01/2023,16/09/2023,707505037025219_23853495166960408_23853495166960408_facebook_9.jpeg,
36gb-59m,120212279474490197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120212279474490197_120212279474490197_facebook_9.jpeg,,133051947,347340.0,"R$ 1.162.848,52",29/04/2024,04/06/2024,1008236073176348_120212279474490197_120212279474490197_facebook_9.jpeg,
btl,120216228088720197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120216228088720197_120216228088720197_facebook_9.jpeg,,115166680,349199.0,"R$ 1.038.520,45",02/10/2024,02/11/2024,1008236073176348_120216228088720197_120216228088720197_facebook_9.jpeg,
meta,23853929965440408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23853929965440408_23853929965440408_facebook_9.jpeg,,113697444,62329.0,"R$ 977.118,87",17/02/2023,06/07/2023,707505037025219_23853929965440408_23853929965440408_facebook_9.jpeg,
facebook,120202708184650197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120202708184650197_120202708184650197_facebook_9.jpeg,,105494787,325067.0,"R$ 960.523,79",01/11/2023,02/12/2023,1008236073176348_120202708184650197_120202708184650197_facebook_9.jpeg,
interesses-relacionados,120212235464610750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120212235464610750_120212235464610750_facebook_9.jpeg,,104512044,48882.0,"R$ 951.657,72",24/07/2024,10/08/2024,5465078893513624_120212235464610750_120212235464610750_facebook_9.jpeg,
kv-hero,120225993439090197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120225993439090197_120225993439090197_facebook_9.jpeg,,99245412,282448.0,"R$ 937.750,48",09/04/2025,19/06/2025,1008236073176348_120225993439090197_120225993439090197_facebook_9.jpeg,
facebook,120204030334260197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204030334260197_120204030334260197_facebook_9.jpeg,,98154355,263611.0,"R$ 924.230,63",01/12/2023,20/02/2024,1008236073176348_120204030334260197_120204030334260197_facebook_9.jpeg,
facebook,120214599650000197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120214599650000197_120214599650000197_facebook_9.jpeg,,94713444,268896.0,"R$ 891.673,59",24/07/2024,24/08/2024,1008236073176348_120214599650000197_120214599650000197_facebook_9.jpeg,
facebook,120204042192490197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204042192490197_120204042192490197_facebook_9.jpeg,,92553334,252206.0,"R$ 884.004,70",01/12/2023,08/02/2024,1008236073176348_120204042192490197_120204042192490197_facebook_9.jpeg,
dia-das-maes,120224846651260750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120224846651260750_120224846651260750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120224846651260750_120224846651260750_facebook_9.mp4,87704282,61817.0,"R$ 858.010,82",24/04/2025,08/05/2025,5465078893513624_120224846651260750_120224846651260750_facebook_9.jpg,
facebook,120213570909230197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120213570909230197_120213570909230197_facebook_9.jpeg,,82629918,223809.0,"R$ 811.462,31",03/06/2024,05/07/2024,1008236073176348_120213570909230197_120213570909230197_facebook_9.jpeg,
aparelho,120225066930440750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120225066930440750_120225066930440750_facebook_9.jpeg,,82504112,551508.0,"R$ 758.568,29",25/04/2025,16/05/2025,5465078893513624_120225066930440750_120225066930440750_facebook_9.jpeg,
alltype,120219963898640197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120219963898640197_120219963898640197_facebook_9.jpeg,,80386313,266396.0,"R$ 664.492,37",03/02/2025,23/04/2025,1008236073176348_120219963898640197_120219963898640197_facebook_9.jpeg,
facebook,120204042349660197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204042349660197_120204042349660197_facebook_9.jpeg,,78048283,210442.0,"R$ 661.018,81",02/12/2023,08/02/2024,1008236073176348_120204042349660197_120204042349660197_facebook_9.jpeg,
meta,23860547120450408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23860547120450408_23860547120450408_facebook_9.jpeg,,74546601,41271.0,"R$ 649.269,06",22/09/2023,07/01/2024,707505037025219_23860547120450408_23860547120450408_facebook_9.jpeg,
