creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date,parsed_cost,CTR,CPC,CPM,engajamentoneural,engajamentoneural_5sec,engajamentoneural_peak,cognitivedemand,cognitivedemand_5sec,cognitivedemand_peak,focus,focus_5sec,focus_peak,embedding_mean,fluency_index,peak_score,engajamentoneural_last_5sec,cognitivedemand_last_5sec,focus_last_5sec,cost_interval,trimester
meta,23853495166960408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23853495166960408_23853495166960408_facebook_9.jpeg,,162944269,91821.0,"R$ 1.598.450,29",16/01/2023,16/09/2023,1598450.29,0.0563511687545144,17.408330229468206,9.809797544950785,82.31746417658161,82.31746417658161,82.31746417658161,89.56000570142656,89.56000570142656,89.56000570142656,14.88391596268066,14.88391596268066,14.88391596268066,,5.530632152383899,82.31746417658161,,,,High,2023_Q1
36gb-59m,120212279474490197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120212279474490197_120212279474490197_facebook_9.jpeg,,133051947,347340.0,"R$ 1.162.848,52",29/04/2024,04/06/2024,1162848.52,0.2610559317858009,3.3478681407266655,8.739808369733966,84.17857321015305,84.17857321015305,84.17857321015305,71.48335025963458,71.48335025963458,71.48335025963458,8.01877144724379,8.01877144724379,8.01877144724379,,10.497689548077451,84.17857321015305,,,,High,2024_Q2
btl,120216228088720197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120216228088720197_120216228088720197_facebook_9.jpeg,,115166680,349199.0,"R$ 1.038.520,45",02/10/2024,02/11/2024,1038520.45,0.3032118317555043,2.9740075143399607,9.017542660776536,78.8651914863562,78.8651914863562,78.8651914863562,67.99840311886702,67.99840311886702,67.99840311886702,7.940510483132113,7.940510483132113,7.940510483132113,,9.93200520972652,78.8651914863562,,,,High,2024_Q4
meta,23853929965440408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23853929965440408_23853929965440408_facebook_9.jpeg,,113697444,62329.0,"R$ 977.118,87",17/02/2023,06/07/2023,977118.87,0.0548200538263639,15.67679362736447,8.594026704769194,62.61965356570184,62.61965356570184,62.61965356570184,80.00400008924538,80.00400008924538,80.00400008924538,8.740068128219146,8.740068128219146,8.740068128219146,,7.164664239117442,62.61965356570184,,,,High,2023_Q1
facebook,120202708184650197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120202708184650197_120202708184650197_facebook_9.jpeg,,105494787,325067.0,"R$ 960.523,79",01/11/2023,02/12/2023,960523.79,0.3081356048427303,2.9548486619681484,9.104940796742875,72.37407282299971,72.37407282299971,72.37407282299971,79.36961929597082,79.36961929597082,79.36961929597082,7.829088802711026,7.829088802711026,7.829088802711026,,9.244252383232428,72.37407282299971,,,,High,2023_Q4
interesses-relacionados,120212235464610750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120212235464610750_120212235464610750_facebook_9.jpeg,,104512044,48882.0,"R$ 951.657,72",24/07/2024,10/08/2024,951657.72,0.0467716428931387,19.468469375230143,9.105722972942717,84.6874426730988,84.6874426730988,84.6874426730988,62.99090141239536,62.99090141239536,62.99090141239536,8.214687040550528,8.214687040550528,8.214687040550528,,10.309271948529796,84.6874426730988,,,,High,2024_Q3
kv-hero,120225993439090197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120225993439090197_120225993439090197_facebook_9.jpeg,,99245412,282448.0,"R$ 937.750,48",09/04/2025,19/06/2025,937750.48,0.2845955236701521,3.3200818557752223,9.448804343721198,78.50059244558246,78.50059244558246,78.50059244558246,81.86331839235847,81.86331839235847,81.86331839235847,7.9861943220169485,7.9861943220169485,7.9861943220169485,,9.829536983487372,78.50059244558246,,,,High,2025_Q2
facebook,120204030334260197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204030334260197_120204030334260197_facebook_9.jpeg,,98154355,263611.0,"R$ 924.230,63",01/12/2023,20/02/2024,924230.63,0.268567808325978,3.5060396948534014,9.416093967506589,72.31800098509598,72.31800098509598,72.31800098509598,76.18804903112199,76.18804903112199,76.18804903112199,8.216588307398688,8.216588307398688,8.216588307398688,,8.801463366489557,72.31800098509598,,,,High,2023_Q4
facebook,120214599650000197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120214599650000197_120214599650000197_facebook_9.jpeg,,94713444,268896.0,"R$ 891.673,59",24/07/2024,24/08/2024,891673.59,0.2839047854705822,3.3160537531238843,9.414435293895552,75.84449831196318,75.84449831196318,75.84449831196318,69.7433500843453,69.7433500843453,69.7433500843453,8.052782211892184,8.052782211892184,8.052782211892184,,9.418421648105369,75.84449831196318,,,,High,2024_Q3
facebook,120204042192490197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204042192490197_120204042192490197_facebook_9.jpeg,,92553334,252206.0,"R$ 884.004,70",01/12/2023,08/02/2024,884004.7,0.2724980171973059,3.5050898868385367,9.551300442618308,81.87363444940205,81.87363444940205,81.87363444940205,70.758832670267,70.758832670267,70.758832670267,8.31693847571675,8.31693847571675,8.31693847571675,,9.844203451600766,81.87363444940205,,,,High,2023_Q4
