creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date,parsed_cost,CTR,CPC,CPM,engajamentoneural,engajamentoneural_5sec,engajamentoneural_peak,cognitivedemand,cognitivedemand_5sec,cognitivedemand_peak,focus,focus_5sec,focus_peak,embedding_mean,fluency_index,peak_score,engajamentoneural_last_5sec,cognitivedemand_last_5sec,focus_last_5sec,cost_interval,trimester
dia-das-maes,120224846651260750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120224846651260750_120224846651260750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120224846651260750_120224846651260750_facebook_9.mp4,87704282,61817.0,"R$ 858.010,82",24/04/2025,08/05/2025,858010.82,0.0704834457227527,13.879852144232167,9.782998052478211,74.86229623157003,84.28602586837172,92.33980282305484,51.55706490971672,61.53449698656114,64.65718025989113,18.839555628916173,10.584979493196474,53.87867652309618,-0.0175031941554819,3.9736763279419662,92.33980282305484,72.07499433659135,43.158808686355485,30.686289843542774,High,2025_Q2
manifesto,120222134179010439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120222134179010439_120222134179010439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120222134179010439_120222134179010439_facebook_9.mp4,70817269,59866.0,"R$ 632.502,50",18/03/2025,16/05/2025,632502.5,0.0845358778238116,10.565304179333843,8.93147263275572,31.927863811128617,51.92527838158925,63.61241297950837,50.63678269452904,48.7403069205875,90.79721114042437,31.399357399318188,52.16472642946091,72.96329184783774,-0.0202634350862273,1.0168317588506417,63.61241297950837,27.672149501358785,61.90840706943428,34.1229090426924,High,2025_Q1
dia-das-maes,120224851629550750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120224851629550750_120224851629550750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120224851629550750_120224851629550750_facebook_9.mp4,44724623,31805.0,"R$ 451.907,42",24/04/2025,08/05/2025,451907.42,0.0711129527016918,14.208691086307184,10.104219771735137,61.70549182539522,82.79941420266033,90.99044979759172,47.54758808703146,61.256515353582394,81.63502788223371,26.100817940479555,9.817009745432816,65.21780257007873,-0.0183618003584423,2.364121000579704,90.99044979759172,67.40257975807975,45.19657613483537,28.1876589808143,High,2025_Q2
kv-hero,120225995554260197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120225995554260197_120225995554260197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120225995554260197_120225995554260197_facebook_9.mp4,40207753,129991.0,"R$ 414.749,52",09/04/2025,19/06/2025,414749.52,0.3232983449734184,3.1906018108946004,10.31516284931416,72.1475026138067,71.17074254837732,82.14880439091651,59.650580090136536,60.020087179049064,83.59117953192425,13.663353345972723,12.767114293946738,37.848373668944696,-0.0185384206830834,5.280365718937671,82.14880439091651,73.65132685060198,54.238311758787496,10.34280512125685,High,2025_Q2
chegada-praca,120231943255310409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120231943255310409_120231943255310409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120231943255310409_120231943255310409_facebook_9.mp4,34161060,32068.0,"R$ 337.166,41",22/07/2025,13/09/2025,337166.41,0.093872965300257,10.51410783335412,9.869904798036126,78.11551434075385,80.88515119057787,88.96406928330045,72.68956556447887,72.12499517574292,78.56676580046884,44.23364542404184,53.58401938682842,71.61081222366003,-0.0200401367369825,1.7659750534215874,88.96406928330045,78.12438545826753,73.84558807609233,47.117584008975584,High,2025_Q3
pre-pago,120219253407260370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5006651156112143_120219253407260370_120219253407260370_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5006651156112143_120219253407260370_120219253407260370_facebook_9.mp4,33769190,16825.0,"R$ 336.053,46",01/01/2025,31/01/2025,336053.46,0.0498235225659839,19.973459732540864,9.951481217050215,66.84336388047863,72.04497049359276,80.7772102332081,76.62883627408067,87.9410340420494,92.49630046683994,12.330972681680748,9.143401529159185,24.20553444269506,-0.0187753809957454,5.4207697645606725,80.7772102332081,61.80704004803805,63.72989208683604,15.895840788051482,High,2025_Q1
,120221763466840439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120221763466840439_120221763466840439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120221763466840439_120221763466840439_facebook_9.mp4,31144711,18521.0,"R$ 300.337,61",18/03/2025,13/05/2025,300337.61,0.0594675609608321,16.216057988229576,9.643294169594316,72.26648886900328,74.40471325487789,82.55203926352401,70.82017439931603,63.20551163548599,96.5029762845498,32.83957469214568,51.26910802390753,63.50741500211867,-0.0186398413466425,2.200591498107539,82.55203926352401,71.36714566551424,68.92994422793296,23.568323268546173,High,2025_Q1
timmusic-ing-esgotado-teste-a,120221761713210439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120221761713210439_120221761713210439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120221761713210439_120221761713210439_facebook_9.mp4,31050576,17980.0,"R$ 288.925,20",18/03/2025,13/05/2025,288925.2,0.0579055280649222,16.069254727474974,9.30498680604186,72.26648886900328,74.40471325487789,82.55203926352401,70.82017439931603,63.20551163548599,96.5029762845498,32.83957469214568,51.26910802390753,63.50741500211867,-0.0186398413466425,2.200591498107539,82.55203926352401,71.36714566551424,68.92994422793296,23.568323268546173,High,2025_Q1
,120206883689890348,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/557249762645654_120206883689890348_120206883689890348_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/557249762645654_120206883689890348_120206883689890348_facebook_9.mp4,26759844,39.0,"R$ 240.976,53",31/12/2023,01/01/2024,240976.53,0.0001457407599237,6178.885384615384,9.00515451435367,68.35118355850001,75.58116832381734,83.29843121056572,88.87660510958003,87.88510860126439,90.97705709646766,17.579962005108644,16.62132899006543,22.19006029945898,-0.0223357161760537,3.888016569014058,83.29843121056572,64.39723633109318,89.40801827901865,18.663090582849183,High,2023_Q4
timmusic-teste-a,120221258109400439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120221258109400439_120221258109400439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120221258109400439_120221258109400439_facebook_9.mp4,25920193,12333.0,"R$ 223.436,51",18/03/2025,07/05/2025,223436.51,0.04758066423348,18.116963431444095,8.62017153961778,81.33673009096582,82.63836423816483,90.3523210744412,82.40576399566167,80.35912771845578,89.31336313341413,27.16568358194981,30.096380630196688,54.627251206814975,-0.0221042636057568,2.994098412638873,90.3523210744412,83.40990366094347,88.91601996839434,23.01156206102499,High,2025_Q1
timmusic-teste-b,120221462952990439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120221462952990439_120221462952990439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120221462952990439_120221462952990439_facebook_9.mp4,25218788,14617.0,"R$ 214.578,22",18/03/2025,07/05/2025,214578.22,0.0579607552908569,14.680045152904151,8.508665047662085,68.00442799028465,65.13176059340381,72.35021580018693,61.66849106264676,58.286993810247395,75.233241367002,13.799632263541971,20.3504270805432,50.35365146275459,-0.0201102855289354,4.9279884196587895,72.35021580018693,69.87138482783986,61.91489071744483,9.067618469896708,High,2025_Q1
dia-dos-pais,120231654414330750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120231654414330750_120231654414330750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120231654414330750_120231654414330750_facebook_9.mp4,21069433,15986.0,"R$ 183.332,70",22/07/2025,16/08/2025,183332.7,0.0758729482658598,11.468328537470288,8.70135897819367,77.64112361838387,72.01115651330855,87.12437848428081,50.50996791211729,49.8443134950996,61.67216766491093,18.803456907509208,21.87257118403332,55.895025567414024,-0.0198944842065813,4.129087752336524,87.12437848428081,84.60802235190378,49.36185624389772,13.774371446367487,High,2025_Q3
