creative_name,creative_id,public_storage_url,video_public_storage_url,from_date,last_date,impressions,clicks,parsed_cost,cost,CTR,CPM,CPC,engajamentoneural,cognitivedemand,focus
meta,23853495166960408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23853495166960408_23853495166960408_facebook_9.jpeg,,16/01/2023,16/09/2023,162944269,91821.0,1598450.29,"R$ 1.598.450,29",0.0005635116875451,9.809797544950785,17.408330229468206,82.31746417658161,89.56000570142656,14.88391596268066
36gb-59m,120212279474490197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120212279474490197_120212279474490197_facebook_9.jpeg,,29/04/2024,04/06/2024,133051947,347340.0,1162848.52,"R$ 1.162.848,52",0.002610559317858,8.739808369733966,3.3478681407266655,84.17857321015305,71.48335025963458,8.01877144724379
btl,120216228088720197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120216228088720197_120216228088720197_facebook_9.jpeg,,02/10/2024,02/11/2024,115166680,349199.0,1038520.45,"R$ 1.038.520,45",0.003032118317555,9.017542660776536,2.9740075143399607,78.8651914863562,67.99840311886702,7.940510483132113
meta,23853929965440408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23853929965440408_23853929965440408_facebook_9.jpeg,,17/02/2023,06/07/2023,113697444,62329.0,977118.87,"R$ 977.118,87",0.0005482005382636,8.594026704769194,15.67679362736447,62.61965356570184,80.00400008924538,8.740068128219146
facebook,120202708184650197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120202708184650197_120202708184650197_facebook_9.jpeg,,01/11/2023,02/12/2023,105494787,325067.0,960523.79,"R$ 960.523,79",0.0030813560484273,9.104940796742875,2.9548486619681484,72.37407282299971,79.36961929597082,7.829088802711026
interesses-relacionados,120212235464610750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120212235464610750_120212235464610750_facebook_9.jpeg,,24/07/2024,10/08/2024,104512044,48882.0,951657.72,"R$ 951.657,72",0.0004677164289313,9.105722972942717,19.468469375230143,84.6874426730988,62.99090141239536,8.214687040550528
kv-hero,120225993439090197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120225993439090197_120225993439090197_facebook_9.jpeg,,09/04/2025,19/06/2025,99245412,282448.0,937750.48,"R$ 937.750,48",0.0028459552367015,9.448804343721198,3.3200818557752223,78.50059244558246,81.86331839235847,7.9861943220169485
facebook,120204030334260197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204030334260197_120204030334260197_facebook_9.jpeg,,01/12/2023,20/02/2024,98154355,263611.0,924230.63,"R$ 924.230,63",0.0026856780832597,9.416093967506589,3.5060396948534014,72.31800098509598,76.18804903112199,8.216588307398688
facebook,120214599650000197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120214599650000197_120214599650000197_facebook_9.jpeg,,24/07/2024,24/08/2024,94713444,268896.0,891673.59,"R$ 891.673,59",0.0028390478547058,9.414435293895552,3.3160537531238843,75.84449831196318,69.7433500843453,8.052782211892184
facebook,120204042192490197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204042192490197_120204042192490197_facebook_9.jpeg,,01/12/2023,08/02/2024,92553334,252206.0,884004.7,"R$ 884.004,70",0.002724980171973,9.551300442618308,3.5050898868385367,81.87363444940205,70.758832670267,8.31693847571675
dia-das-maes,120224846651260750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120224846651260750_120224846651260750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120224846651260750_120224846651260750_facebook_9.mp4,24/04/2025,08/05/2025,87704282,61817.0,858010.82,"R$ 858.010,82",0.0007048344572275,9.782998052478211,13.879852144232167,74.86229623157003,51.55706490971672,18.839555628916173
facebook,120213570909230197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120213570909230197_120213570909230197_facebook_9.jpeg,,03/06/2024,05/07/2024,82629918,223809.0,811462.31,"R$ 811.462,31",0.0027085710045119,9.82044191306108,3.62569114736226,85.33535398656586,69.09306339328664,8.068768135725612
aparelho,120225066930440750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120225066930440750_120225066930440750_facebook_9.jpeg,,25/04/2025,16/05/2025,82504112,551508.0,758568.29,"R$ 758.568,29",0.0066846122772644,9.194308884871097,1.3754438557554922,85.24628952796382,88.75211849507257,9.99460531021381
alltype,120219963898640197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120219963898640197_120219963898640197_facebook_9.jpeg,,03/02/2025,23/04/2025,80386313,266396.0,664492.37,"R$ 664.492,37",0.0033139472387544,8.266237686507653,2.494378181354074,75.80196489710816,81.68865294907644,7.834046516090276
facebook,120204042349660197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204042349660197_120204042349660197_facebook_9.jpeg,,02/12/2023,08/02/2024,78048283,210442.0,661018.81,"R$ 661.018,81",0.0026963053114185,8.469357487338959,3.1410973569914753,78.59395442593664,62.213779717994555,23.455700301486427
meta,23860547120450408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23860547120450408_23860547120450408_facebook_9.jpeg,,22/09/2023,07/01/2024,74546601,41271.0,649269.06,"R$ 649.269,06",0.0005536268514777,8.709572955579826,15.73184705967871,56.98099883707617,67.86789049303277,10.5737972010699
manifesto,120222134179010439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120222134179010439_120222134179010439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120222134179010439_120222134179010439_facebook_9.mp4,18/03/2025,16/05/2025,70817269,59866.0,632502.5,"R$ 632.502,50",0.0008453587782381,8.93147263275572,10.565304179333843,31.927863811128617,50.63678269452904,31.399357399318188
kv-hero,120218102995100197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120218102995100197_120218102995100197_facebook_9.jpeg,,10/12/2024,17/04/2025,69852816,233609.0,623920.08,"R$ 623.920,08",0.0033443032561493,8.931924519692949,2.670787854919973,84.79826885468012,52.16091622897299,38.376227285929254
pais-chip-gratis-v2,120234275827920197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120234275827920197_120234275827920197_facebook_9.jpeg,,18/07/2025,16/08/2025,68842375,338677.0,622777.52,"R$ 622.777,52",0.0049196007546224,9.046427000811637,1.8388538932375096,85.15670057389372,85.96450405825307,8.984506654815739
interesses-relacionados,120207468072780370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5006651156112143_120207468072780370_120207468072780370_facebook_9.jpeg,,12/01/2024,26/02/2024,63164803,54811.0,601900.45,"R$ 601.900,45",0.0008677459185616,9.52904816310438,10.98138056229589,78.27496810915959,90.05039198189432,11.282778386299077
kv-hero,120218026550270197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120218026550270197_120218026550270197_facebook_9.jpeg,,10/12/2024,17/04/2025,62342369,260544.0,593302.88,"R$ 593.302,88",0.0041792444557248,9.51684848549788,2.27716961434537,74.73237871747249,50.72457563588425,7.983347208659075
as-abc-25,120214669379000409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120214669379000409_120214669379000409_facebook_9.jpeg,,16/09/2024,17/10/2024,61876038,87451.0,576602.14,"R$ 576.602,14",0.0014133257853387,9.318666136962422,6.593431064253124,85.33047751619742,85.5513151048656,9.025916085908348
bf-portabilidade-v2,120241506512410197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120241506512410197_120241506512410197_facebook_9.jpeg,,31/10/2025,04/12/2025,60121608,229486.0,542517.85,"R$ 542.517,85",0.003817030309635,9.023674982212718,2.3640564130273742,87.60320656396536,70.169414781522,9.195039003816664
36gb-64m,120212281200920197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120212281200920197_120212281200920197_facebook_9.jpeg,,29/04/2024,05/06/2024,57260288,194699.0,537541.52,"R$ 537.541,52",0.0034002448608012,9.387684532777762,2.760884853029548,69.5472529694955,46.24879712786626,23.001348217787797
meta,120213489727150409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120213489727150409_120213489727150409_facebook_9.jpeg,,24/07/2024,01/10/2024,55024028,80145.0,535929.92,"R$ 535.929,92",0.0014565454931798,9.739925255926376,6.687003805602346,91.74343831460196,88.11635691765717,18.16042463418144
kv-chip-gratis,120226024129580197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120226024129580197_120226024129580197_facebook_9.jpeg,,09/04/2025,19/06/2025,54353421,202955.0,529675.2,"R$ 529.675,20",0.0037339875994189,9.745020465225178,2.60981596905718,78.90208586927332,74.55883509658335,14.126025939848883
kv-gb-preco,120226024616440197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120226024616440197_120226024616440197_facebook_9.jpeg,,09/04/2025,18/06/2025,53254097,149112.0,529485.17,"R$ 529.485,17",0.0028000099222412,9.942618499380432,3.5509225950963037,84.67783184790169,67.99595609661114,8.851720480468362
kv-hero,120225987946050197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120225987946050197_120225987946050197_facebook_9.jpeg,,09/04/2025,19/06/2025,52475596,283456.0,508445.64,"R$ 508.445,64",0.0054016728080611,9.689182758400683,1.793737440731542,74.68987170884182,91.2235468346814,9.86912072567876
facebook,120208757900830197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120208757900830197_120208757900830197_facebook_9.jpeg,,19/02/2024,04/04/2024,52341049,131799.0,489785.48,"R$ 489.785,48",0.0025180809807613,9.357578599542396,3.716154750794771,75.0042232112969,75.87836890837704,10.551112355517978
chegada-praca,120231943315220409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120231943315220409_120231943315220409_facebook_9.jpeg,,22/07/2025,17/09/2025,52031960,53399.0,474102.11,"R$ 474.102,11",0.0010262730829282,9.1117480486993,8.878482930391955,73.20230764736704,86.75109590684237,27.082305711360423
kv-custo-beneficio-v2,120238596785790197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120238596785790197_120238596785790197_facebook_9.jpeg,,19/09/2025,01/11/2025,49341973,197441.0,470251.32,"R$ 470.251,32",0.0040014816594383,9.530452298695067,2.3817308461768327,71.90711830178036,75.30152788542267,8.100715692996596
demografico-interesses,120212692875030750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120212692875030750_120212692875030750_facebook_9.jpeg,,16/08/2024,06/09/2024,47837814,19005.0,466240.98,"R$ 466.240,98",0.0003972798589835,9.746285229504842,24.53254301499605,67.97957772029814,88.62845991208124,10.384967526955544
bf-chip-virtual,120241512422520197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120241512422520197_120241512422520197_facebook_9.jpeg,,01/11/2025,04/12/2025,47436028,174104.0,461737.62,"R$ 461.737,62",0.0036702904383141,9.73390141349946,2.6520793318935807,85.78040021941771,71.6549071152634,8.376418200131575
gb-preco,120235683570380197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120235683570380197_120235683570380197_facebook_9.jpeg,,05/08/2025,22/09/2025,46892250,155611.0,458807.17,"R$ 458.807,17",0.0033184801326445,9.78428567620449,2.948423761816324,69.64582193022353,85.46465974061981,8.479702437351788
dia-das-maes,120224851629550750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120224851629550750_120224851629550750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120224851629550750_120224851629550750_facebook_9.mp4,24/04/2025,08/05/2025,44724623,31805.0,451907.42,"R$ 451.907,42",0.0007111295270169,10.104219771735137,14.208691086307184,61.70549182539522,47.54758808703146,26.100817940479555
meta,23860546499090408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23860546499090408_23860546499090408_facebook_9.jpeg,,22/09/2023,06/12/2023,44448557,28847.0,449958.56,"R$ 449.958,56",0.0006489974466437,10.123130881391717,15.598105868894512,56.98099883707617,67.86789049303277,10.5737972010699
esim-ativo,120235684268330197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120235684268330197_120235684268330197_facebook_9.jpeg,,05/08/2025,23/09/2025,43374186,156426.0,437936.82,"R$ 437.936,82",0.00360643079273,10.096715590236093,2.799642131103525,70.41139448133333,63.4072646897371,11.81645049590716
interesses-relacionados,120210006065210750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120210006065210750_120210006065210750_facebook_9.jpeg,,26/04/2024,12/05/2024,43134300,41379.0,437479.03,"R$ 437.479,03",0.0009593061670178,10.142254076222404,10.572489185335558,50.85750324919718,66.79251868224671,14.405578440664147
33gb-54m,120212322118200197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120212322118200197_120212322118200197_facebook_9.jpeg,,30/04/2024,04/06/2024,42867149,153511.0,435250.53,"R$ 435.250,53",0.0035810872330231,10.153475100478458,2.8353051572851458,83.68072349405726,71.699364663463,8.241556643727744
facebook,120204042252530197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204042252530197_120204042252530197_facebook_9.jpeg,,01/12/2023,08/02/2024,41304932,143354.0,433758.21,"R$ 433.758,21",0.0034706267038522,10.501366035416789,3.0257837939645915,72.30728324281361,49.661642494698214,33.74012679302978
atl-1,120217399134720197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120217399134720197_120217399134720197_facebook_9.jpeg,,14/11/2024,11/12/2024,41302333,91977.0,431326.49,"R$ 431.326,49",0.0022269202081151,10.443150753735871,4.689503788990726,81.78228891452778,49.30954633168443,10.64369137852983
plano,120224848709500750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120224848709500750_120224848709500750_facebook_9.jpeg,,24/04/2025,12/05/2025,40828310,216786.0,422968.94,"R$ 422.968,94",0.0053096980991865,10.35969747461994,1.9510897382672312,85.5369406060392,91.64010716891768,12.00149586910484
kv-hero,120225995554260197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120225995554260197_120225995554260197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120225995554260197_120225995554260197_facebook_9.mp4,09/04/2025,19/06/2025,40207753,129991.0,414749.52,"R$ 414.749,52",0.0032329834497341,10.31516284931416,3.1906018108946004,72.1475026138067,59.650580090136536,13.663353345972723
gross,120215820503700197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120215820503700197_120215820503700197_facebook_9.jpeg,,13/09/2024,03/10/2024,39385526,135072.0,394723.81,"R$ 394.723,81",0.0034294832065972,10.022052517465426,2.9223215026060174,80.29347002861837,64.79924720378338,8.028033101691822
kv-chip-gratis,120232010688320197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120232010688320197_120232010688320197_facebook_9.jpeg,,18/06/2025,21/08/2025,38657419,136372.0,393857.02,"R$ 393.857,02",0.003527705768458,10.18839410877379,2.888107676062535,77.66383846973339,71.62652522736201,46.775377922508575
chip-gratis,120220420058270197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120220420058270197_120220420058270197_facebook_9.jpeg,,12/02/2025,10/04/2025,38105579,142961.0,391786.2,"R$ 391.786,20",0.0037517078535927,10.281596823394285,2.740511048467764,69.18676645849382,74.4530130766532,15.479942042722053
kv-hero,120245555316540197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120245555316540197_120245555316540197_facebook_9.jpeg,,09/01/2026,10/02/2026,37903672,157790.0,390603.31,"R$ 390.603,31",0.0041629212072117,10.305157505584155,2.4754630204702455,90.59339002859154,79.73687637299004,8.45938179471104
kv-hero,120245555852540197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120245555852540197_120245555852540197_facebook_9.jpeg,,09/01/2026,10/02/2026,37410689,165363.0,390568.41,"R$ 390.568,41",0.0044202072835386,10.440021834401392,2.3618851254512796,68.88072261475479,63.5572844827327,8.292944320392937
kv-gb-preco-v4,120226028578400197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120226028578400197_120226028578400197_facebook_9.jpeg,,09/04/2025,19/06/2025,37226143,166882.0,377628.14,"R$ 377.628,14",0.0044829248090515,10.144165083124513,2.262845243944823,86.76527555122148,78.88695278325972,7.837415800787562
facebook,120208207118360197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120208207118360197_120208207118360197_facebook_9.jpeg,,07/02/2024,03/04/2024,36954401,120640.0,366527.25,"R$ 366.527,25",0.0032645638066221,9.918365338948398,3.038190069628647,81.39569621504712,65.06833444773092,7.880855676890741
facebook,23860422884750196,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_23860422884750196_23860422884750196_facebook_9.jpeg,,18/09/2023,06/10/2023,36197842,90154.0,366028.06,"R$ 366.028,06",0.0024905904611661,10.1118751775313,4.060031279810103,70.72275274592982,65.97689457086811,8.245434513156912
facebook,120208750199040197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120208750199040197_120208750199040197_facebook_9.jpeg,,19/02/2024,04/04/2024,35475440,119136.0,359815.22,"R$ 359.815,22",0.0033582670151518,10.142657004395152,3.020205647327424,76.73216726609525,75.27118432123441,7.987070174262567
meta,120213303027130409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120213303027130409_120213303027130409_facebook_9.jpeg,,16/07/2024,24/09/2024,34892333,58629.0,359055.06,"R$ 359.055,06",0.0016802831728104,10.290371240008517,6.1241887120708185,74.24921542124909,86.1196716799245,10.164171854362491
facebook,120213571388610197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120213571388610197_120213571388610197_facebook_9.jpeg,,03/06/2024,25/07/2024,34833087,93434.0,355373.57,"R$ 355.373,57",0.002682334758329,10.20218420491988,3.8034716484363296,80.15208450126556,67.56090927925726,7.924640224209467
facebook,120215503603970197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120215503603970197_120215503603970197_facebook_9.jpeg,,02/09/2024,14/09/2024,34536337,104229.0,355266.93,"R$ 355.266,93",0.0030179517879965,10.286757683653596,3.4085228679158392,75.13645827651476,63.15038956770933,8.169766394110201
hero-mensagem-chegou,120218766915110409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120218766915110409_120218766915110409_facebook_9.jpeg,,10/02/2025,01/05/2025,34500194,22077.0,344762.52,"R$ 344.762,52",0.0006399094451468,9.993060328878151,15.616366354124205,82.48610012557234,88.68937785226598,17.361083375416776
kv-custo-beneficio-v2,120243634641270197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120243634641270197_120243634641270197_facebook_9.jpeg,,03/12/2025,10/01/2026,34454578,141233.0,338842.78,"R$ 338.842,78",0.0040991069459623,9.83447772891022,2.399175688401436,73.39162905463016,82.51292145248998,7.883659506789553
