creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date,emb_1_mean,emb_2_mean,emb_3_mean,emb_4_mean,emb_5_mean,emb_6_mean,emb_7_mean,emb_8_mean,emb_9_mean,emb_10_mean,emb_1_var,emb_2_var,emb_3_var,emb_4_var,emb_5_var,emb_6_var,emb_7_var,emb_8_var,emb_9_var,emb_10_var
meta,23853495166960408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23853495166960408_23853495166960408_facebook_9.jpeg,,162944269,91821.0,"R$ 1.598.450,29",16/01/2023,16/09/2023,0.2074384242296219,0.18841882050037384,-0.058402400463819504,0.21377421915531158,-0.21033453941345215,0.014571034349501133,-0.16861869394779205,-0.16771657764911652,-0.09148460626602173,-0.0983659103512764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36gb-59m,120212279474490197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120212279474490197_120212279474490197_facebook_9.jpeg,,133051947,347340.0,"R$ 1.162.848,52",29/04/2024,04/06/2024,0.19291917979717255,0.18597500026226044,-0.030423900112509727,0.2111164778470993,-0.22144687175750732,-0.008065742440521717,-0.1620613932609558,-0.16164973378181458,-0.10062875598669052,-0.12739336490631104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
btl,120216228088720197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120216228088720197_120216228088720197_facebook_9.jpeg,,115166680,349199.0,"R$ 1.038.520,45",02/10/2024,02/11/2024,0.19388657808303833,0.19136522710323334,-0.03868354484438896,0.21166586875915527,-0.21852676570415497,-0.0033282923977822065,-0.16766609251499176,-0.15614105761051178,-0.10568317770957947,-0.1193980798125267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meta,23853929965440408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23853929965440408_23853929965440408_facebook_9.jpeg,,113697444,62329.0,"R$ 977.118,87",17/02/2023,06/07/2023,0.19486881792545319,0.18470324575901031,-0.031598445028066635,0.2121373414993286,-0.22044773399829865,-0.005994964390993118,-0.16043159365653992,-0.16586928069591522,-0.09681389480829239,-0.1255355179309845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
facebook,120202708184650197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120202708184650197_120202708184650197_facebook_9.jpeg,,105494787,325067.0,"R$ 960.523,79",01/11/2023,02/12/2023,0.20014573633670807,0.1906447857618332,-0.04860218986868858,0.21268408000469208,-0.21451610326766968,0.005588592495769262,-0.16880635917186737,-0.16051600873470306,-0.09992078691720963,-0.10897743701934814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interesses-relacionados,120212235464610750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120212235464610750_120212235464610750_facebook_9.jpeg,,104512044,48882.0,"R$ 951.657,72",24/07/2024,10/08/2024,0.20003867149353027,0.1934543251991272,-0.05107583478093147,0.213947594165802,-0.2134028822183609,0.007696511223912239,-0.17029815912246704,-0.15962402522563934,-0.10132697224617004,-0.1058846190571785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kv-hero,120225993439090197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120225993439090197_120225993439090197_facebook_9.jpeg,,99245412,282448.0,"R$ 937.750,48",09/04/2025,19/06/2025,0.1979506015777588,0.19252461194992065,-0.047414302825927734,0.21241110563278198,-0.21507640182971954,0.0035055738408118486,-0.1699315458536148,-0.15740306675434113,-0.10337819904088974,-0.11054229736328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
facebook,120204030334260197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204030334260197_120204030334260197_facebook_9.jpeg,,98154355,263611.0,"R$ 924.230,63",01/12/2023,20/02/2024,0.1973608285188675,0.1893557757139206,-0.04270690679550171,0.21220438182353973,-0.21663109958171844,0.00018590611580293626,-0.16691303253173828,-0.16010506451129913,-0.10118123143911362,-0.11538562178611755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
facebook,120214599650000197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120214599650000197_120214599650000197_facebook_9.jpeg,,94713444,268896.0,"R$ 891.673,59",24/07/2024,24/08/2024,0.1947840005159378,0.1890348345041275,-0.03771224245429039,0.21189220249652863,-0.21867181360721588,-0.003348064608871937,-0.16549691557884216,-0.15950743854045868,-0.1024446189403534,-0.1203046441078186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
facebook,120204042192490197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204042192490197_120204042192490197_facebook_9.jpeg,,92553334,252206.0,"R$ 884.004,70",01/12/2023,08/02/2024,0.19346435368061066,0.1906043440103531,-0.036444105207920074,0.21129435300827026,-0.21944253146648407,-0.004006842616945505,-0.16658784449100494,-0.1570657342672348,-0.10441169887781143,-0.12127798050642014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dia-das-maes,120224846651260750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120224846651260750_120224846651260750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120224846651260750_120224846651260750_facebook_9.mp4,87704282,61817.0,"R$ 858.010,82",24/04/2025,08/05/2025,0.20300957692994012,0.19399067163467407,-0.05681089734037717,0.21486957669258117,-0.21096043354935115,0.012821010246665942,-0.17142994172043272,-0.16087410383754305,-0.09970664431651434,-0.09994075629446242,8.214978538754657e-06,1.9863310475290377e-05,6.738451156109752e-05,1.6150928413792717e-06,1.0019442109607126e-05,3.948514888828237e-05,2.4466651189138246e-05,3.8829751227493566e-05,4.2154307859613294e-05,6.525392360585484e-05
facebook,120213570909230197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120213570909230197_120213570909230197_facebook_9.jpeg,,82629918,223809.0,"R$ 811.462,31",03/06/2024,05/07/2024,0.19052909314632416,0.19102685153484344,-0.031984444707632065,0.2107805460691452,-0.22124433517456055,-0.008237266913056374,-0.16621868312358856,-0.15482300519943237,-0.10755202174186707,-0.12604676187038422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aparelho,120225066930440750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120225066930440750_120225066930440750_facebook_9.jpeg,,82504112,551508.0,"R$ 758.568,29",25/04/2025,16/05/2025,0.19257719814777374,0.19210194051265717,-0.03652430698275566,0.21223868429660797,-0.21927618980407715,-0.004374513402581215,-0.1671098917722702,-0.15624620020389557,-0.10656047612428665,-0.12084242701530457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alltype,120219963898640197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120219963898640197_120219963898640197_facebook_9.jpeg,,80386313,266396.0,"R$ 664.492,37",03/02/2025,23/04/2025,0.1967131346464157,0.19331859052181244,-0.04549412056803703,0.21219247579574585,-0.21597786247730255,0.002760903909802437,-0.17005778849124908,-0.15623556077480316,-0.10431031137704849,-0.11210611462593079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
facebook,120204042349660197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204042349660197_120204042349660197_facebook_9.jpeg,,78048283,210442.0,"R$ 661.018,81",02/12/2023,08/02/2024,0.18988628685474396,0.19478553533554077,-0.03488742560148239,0.21073941886425018,-0.22057348489761353,-0.006255853921175003,-0.16957421600818634,-0.15021799504756927,-0.11146751791238785,-0.1230098083615303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meta,23860547120450408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23860547120450408_23860547120450408_facebook_9.jpeg,,74546601,41271.0,"R$ 649.269,06",22/09/2023,07/01/2024,0.19198359549045563,0.19473828375339508,-0.037782128900289536,0.21099524199962616,-0.21926434338092804,-0.0035179927945137024,-0.16983306407928467,-0.15206708014011383,-0.10923997312784195,-0.1196046993136406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manifesto,120222134179010439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120222134179010439_120222134179010439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120222134179010439_120222134179010439_facebook_9.mp4,70817269,59866.0,"R$ 632.502,50",18/03/2025,16/05/2025,0.19216290960709254,0.20469267004066044,-0.05148225070701705,0.2125698467095693,-0.21463006105687882,0.003162541002529906,-0.18012438846959009,-0.14025720498628086,-0.12119762707087729,-0.10753078593148126,8.60771322918458e-06,2.074323389348006e-05,3.652151611990134e-05,1.0780856525668035e-06,5.227342909271481e-06,1.2789622237106811e-05,2.8872620086608245e-05,7.01674910316927e-05,8.468903914749287e-05,2.333776835009667e-05
kv-hero,120218102995100197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120218102995100197_120218102995100197_facebook_9.jpeg,,69852816,233609.0,"R$ 623.920,08",10/12/2024,17/04/2025,0.18938088417053223,0.1930968314409256,-0.03266766294836998,0.2104390263557434,-0.2212294489145279,-0.009012754075229168,-0.16836011409759521,-0.15098057687282562,-0.11145017296075821,-0.12579327821731567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pais-chip-gratis-v2,120234275827920197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120234275827920197_120234275827920197_facebook_9.jpeg,,68842375,338677.0,"R$ 622.777,52",18/07/2025,16/08/2025,0.18911604583263397,0.19107668101787567,-0.029799604788422585,0.21034793555736542,-0.22219641506671906,-0.010474043898284435,-0.16613832116127014,-0.15336687862873077,-0.109156034886837,-0.1285194605588913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interesses-relacionados,120207468072780370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5006651156112143_120207468072780370_120207468072780370_facebook_9.jpeg,,63164803,54811.0,"R$ 601.900,45",12/01/2024,26/02/2024,0.19558356702327728,0.18630319833755493,-0.0348905548453331,0.2116592526435852,-0.2195732146501541,-0.003667893586680293,-0.1625557690858841,-0.1638592630624771,-0.09780197590589523,-0.12245094031095505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kv-hero,120218026550270197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120218026550270197_120218026550270197_facebook_9.jpeg,,62342369,260544.0,"R$ 593.302,88",10/12/2024,17/04/2025,0.18954694271087646,0.19245050847530365,-0.03179934620857239,0.21066349744796753,-0.22149567306041718,-0.008622677065432072,-0.1673944592475891,-0.15225116908550262,-0.10984009504318237,-0.12630458176136017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as-abc-25,120214669379000409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120214669379000409_120214669379000409_facebook_9.jpeg,,61876038,87451.0,"R$ 576.602,14",16/09/2024,17/10/2024,0.18917681276798248,0.19357816874980927,-0.03188106417655945,0.20957742631435394,-0.22182346880435944,-0.00925815012305975,-0.16897444427013397,-0.14960993826389313,-0.11191696673631668,-0.1261528581380844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bf-portabilidade-v2,120241506512410197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120241506512410197_120241506512410197_facebook_9.jpeg,,60121608,229486.0,"R$ 542.517,85",31/10/2025,04/12/2025,0.20207329094409943,0.19041632115840912,-0.05185121297836304,0.2132035493850708,-0.21312056481838226,0.008008437231183052,-0.16910238564014435,-0.16213805973529816,-0.09790860861539841,-0.10567399114370346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36gb-64m,120212281200920197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120212281200920197_120212281200920197_facebook_9.jpeg,,57260288,194699.0,"R$ 537.541,52",29/04/2024,05/06/2024,0.19923175871372223,0.18928875029087067,-0.04546798765659332,0.21277572214603424,-0.21548135578632355,0.0035697079729288816,-0.16690856218338013,-0.1620057374238968,-0.09869662672281265,-0.11207208782434464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meta,120213489727150409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120213489727150409_120213489727150409_facebook_9.jpeg,,55024028,80145.0,"R$ 535.929,92",24/07/2024,01/10/2024,0.19433754682540894,0.19017110764980316,-0.037482332438230515,0.211429163813591,-0.21896880865097046,-0.0035671701189130545,-0.1666363924741745,-0.15783096849918365,-0.10390979796648026,-0.12020060420036316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kv-chip-gratis,120226024129580197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120226024129580197_120226024129580197_facebook_9.jpeg,,54353421,202955.0,"R$ 529.675,20",09/04/2025,19/06/2025,0.19430945813655853,0.1928689330816269,-0.04075062647461891,0.21156619489192963,-0.21791021525859833,-0.0012437495170161128,-0.16906136274337769,-0.15521776676177979,-0.10592179745435715,-0.11706022173166275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kv-gb-preco,120226024616440197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120226024616440197_120226024616440197_facebook_9.jpeg,,53254097,149112.0,"R$ 529.485,17",09/04/2025,18/06/2025,0.19732709228992462,0.19211649894714355,-0.04534533619880676,0.21213524043560028,-0.21596939861774445,0.00259503279812634,-0.16927874088287354,-0.15771029889583588,-0.10291740298271179,-0.11226347088813782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kv-hero,120225987946050197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120225987946050197_120225987946050197_facebook_9.jpeg,,52475596,283456.0,"R$ 508.445,64",09/04/2025,19/06/2025,0.20245443284511566,0.19506557285785675,-0.05881267786026001,0.21377582848072052,-0.21050460636615753,0.011494525708258152,-0.17398756742477417,-0.15685240924358368,-0.10332242399454117,-0.09935102611780167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
facebook,120208757900830197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120208757900830197_120208757900830197_facebook_9.jpeg,,52341049,131799.0,"R$ 489.785,48",19/02/2024,04/04/2024,0.20569337904453278,0.18804334104061127,-0.05566610395908356,0.2144036442041397,-0.2110622525215149,0.011409183032810688,-0.16767233610153198,-0.1672278642654419,-0.09303303807973862,-0.1016598641872406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chegada-praca,120231943315220409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120231943315220409_120231943315220409_facebook_9.jpeg,,52031960,53399.0,"R$ 474.102,11",22/07/2025,17/09/2025,0.1969168782234192,0.19712798297405243,-0.04961000010371208,0.21151284873485565,-0.21492420136928558,0.005100971087813377,-0.17429856956005096,-0.15122325718402863,-0.10853773355484009,-0.10800427943468094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kv-custo-beneficio-v2,120238596785790197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120238596785790197_120238596785790197_facebook_9.jpeg,,49341973,197441.0,"R$ 470.251,32",19/09/2025,01/11/2025,0.18905192613601685,0.19307492673397064,-0.0326186865568161,0.21079635620117188,-0.22111159563064575,-0.009698052890598774,-0.16830630600452423,-0.1506671905517578,-0.11226115375757217,-0.12625403702259064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demografico-interesses,120212692875030750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120212692875030750_120212692875030750_facebook_9.jpeg,,47837814,19005.0,"R$ 466.240,98",16/08/2024,06/09/2024,0.19177259504795074,0.19419069588184357,-0.039089154452085495,0.21105079352855682,-0.21874471008777618,-0.005592565983533859,-0.1709168404340744,-0.14992427825927734,-0.11242363601922989,-0.11986475437879562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bf-chip-virtual,120241512422520197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120241512422520197_120241512422520197_facebook_9.jpeg,,47436028,174104.0,"R$ 461.737,62",01/11/2025,04/12/2025,0.1992139220237732,0.190029576420784,-0.04648532345890999,0.2126074880361557,-0.2152438759803772,0.003497827099636197,-0.16795635223388672,-0.16065628826618195,-0.09996116161346436,-0.11129393428564072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gb-preco,120235683570380197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120235683570380197_120235683570380197_facebook_9.jpeg,,46892250,155611.0,"R$ 458.807,17",05/08/2025,22/09/2025,0.20260752737522125,0.1932469755411148,-0.05631783604621887,0.21377544105052948,-0.2113683670759201,0.010617471300065517,-0.1717156171798706,-0.15978334844112396,-0.10045308619737625,-0.10127288848161697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dia-das-maes,120224851629550750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120224851629550750_120224851629550750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120224851629550750_120224851629550750_facebook_9.mp4,44724623,31805.0,"R$ 451.907,42",24/04/2025,08/05/2025,0.19922966692182753,0.19765315883689458,-0.054798777649799985,0.21440658585892783,-0.21217479175991483,0.009638379970379498,-0.17401864611440235,-0.15433772587113911,-0.1067642041378551,-0.10245164963934157,7.724997804475687e-05,3.6934462655831305e-05,0.0002653583153377374,5.501013799018546e-06,4.5235093352114263e-05,0.00016575818715920746,4.2976964256737726e-05,0.00010665177533912167,0.0001238570367151651,0.0002752580584122302
meta,23860546499090408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23860546499090408_23860546499090408_facebook_9.jpeg,,44448557,28847.0,"R$ 449.958,56",22/09/2023,06/12/2023,0.19198359549045563,0.19473828375339508,-0.037782128900289536,0.21099524199962616,-0.21926434338092804,-0.0035179927945137024,-0.16983306407928467,-0.15206708014011383,-0.10923997312784195,-0.1196046993136406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
esim-ativo,120235684268330197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120235684268330197_120235684268330197_facebook_9.jpeg,,43374186,156426.0,"R$ 437.936,82",05/08/2025,23/09/2025,0.19388286769390106,0.1909077763557434,-0.03768598660826683,0.21126358211040497,-0.21901269257068634,-0.0032966008875519037,-0.16713790595531464,-0.15693959593772888,-0.10440945625305176,-0.12014322727918625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interesses-relacionados,120210006065210750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120210006065210750_120210006065210750_facebook_9.jpeg,,43134300,41379.0,"R$ 437.479,03",26/04/2024,12/05/2024,0.18883945047855377,0.19734244048595428,-0.03740180656313896,0.21123768389225006,-0.21964704990386963,-0.007826141081750393,-0.17258726060390472,-0.14436455070972443,-0.11796806007623672,-0.1222144365310669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33gb-54m,120212322118200197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120212322118200197_120212322118200197_facebook_9.jpeg,,42867149,153511.0,"R$ 435.250,53",30/04/2024,04/06/2024,0.19018042087554932,0.18982039391994476,-0.030338408425450325,0.21072924137115479,-0.2218155413866043,-0.009683740325272083,-0.16518187522888184,-0.1554257869720459,-0.10715199261903763,-0.1279505342245102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
facebook,120204042252530197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204042252530197_120204042252530197_facebook_9.jpeg,,41304932,143354.0,"R$ 433.758,21",01/12/2023,08/02/2024,0.1863601803779602,0.1938651204109192,-0.02785242535173893,0.20953911542892456,-0.22336705029010773,-0.013055124320089817,-0.1683405041694641,-0.14825664460659027,-0.11432504653930664,-0.13059182465076447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atl-1,120217399134720197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120217399134720197_120217399134720197_facebook_9.jpeg,,41302333,91977.0,"R$ 431.326,49",14/11/2024,11/12/2024,0.19915662705898285,0.19211189448833466,-0.048560041934251785,0.21283341944217682,-0.2144526243209839,0.004949335940182209,-0.1696883589029312,-0.15894271433353424,-0.10176771134138107,-0.10908403992652893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plano,120224848709500750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120224848709500750_120224848709500750_facebook_9.jpeg,,40828310,216786.0,"R$ 422.968,94",24/04/2025,12/05/2025,0.1925641894340515,0.1890905499458313,-0.032992057502269745,0.21131396293640137,-0.22059644758701324,-0.005953597370535135,-0.16448162496089935,-0.15872684121131897,-0.10323671251535416,-0.12460967153310776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kv-hero,120225995554260197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120225995554260197_120225995554260197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120225995554260197_120225995554260197_facebook_9.mp4,40207753,129991.0,"R$ 414.749,52",09/04/2025,19/06/2025,0.2018817596965366,0.18995263311598037,-0.05049071518911256,0.213461019926601,-0.21337360243002573,0.007973547502317362,-0.16790939337677427,-0.16383195850584242,-0.09655733870135413,-0.10649015886916055,2.0889186887072285e-06,7.424052356159126e-06,2.096687041324212e-05,6.854062386151695e-07,2.9865823061392403e-06,9.656803828698391e-06,9.606767444137207e-06,1.5559788414188198e-05,1.5018579062318538e-05,1.8766364128461117e-05
gross,120215820503700197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120215820503700197_120215820503700197_facebook_9.jpeg,,39385526,135072.0,"R$ 394.723,81",13/09/2024,03/10/2024,0.19005151093006134,0.1913880705833435,-0.032096151262521744,0.2107282131910324,-0.22121231257915497,-0.0091036232188344,-0.16680346429347992,-0.15342827141284943,-0.10917279869318008,-0.12636004388332367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kv-chip-gratis,120232010688320197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120232010688320197_120232010688320197_facebook_9.jpeg,,38657419,136372.0,"R$ 393.857,02",18/06/2025,21/08/2025,0.20058155059814453,0.19240522384643555,-0.051156625151634216,0.21358977258205414,-0.21335090696811676,0.007466701790690422,-0.16986332833766937,-0.16038952767848969,-0.10049041360616684,-0.10599655658006668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chip-gratis,120220420058270197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120220420058270197_120220420058270197_facebook_9.jpeg,,38105579,142961.0,"R$ 391.786,20",12/02/2025,10/04/2025,0.1908179372549057,0.1947939246892929,-0.037401337176561356,0.2113436907529831,-0.21934406459331512,-0.0055298879742622375,-0.17007505893707275,-0.15047229826450348,-0.11183962225914001,-0.12100565433502197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kv-hero,120245555316540197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120245555316540197_120245555316540197_facebook_9.jpeg,,37903672,157790.0,"R$ 390.603,31",09/01/2026,10/02/2026,0.19321854412555695,0.18978719413280487,-0.035182442516088486,0.21166665852069855,-0.21965624392032623,-0.005254080519080162,-0.1654847115278244,-0.1583349108695984,-0.10400644689798355,-0.1224561333656311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
