Exclude,real_ad_name,Veículo,Campanha,Segmentação,Oferta,Criativo,Formato,Investimento,Impressões,Cliques,Sessões Engajadas,Pedidos,CPM,CPC,CPSess,CPorder,TxClickCTRImp,TxSessionImp,txPedidosImp,TxSessionClick,txPedidosClick,source_row_id,match_score,dimension,filename,file_path
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.75,1920x1080,05_CUSTO BENEFÍCIO.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1920x1080/05_CUSTO BENEFÍCIO.png"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.75,1080x1080,05_CUSTO BENEFÍCIO.jpg,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1080x1080/05_CUSTO BENEFÍCIO.jpg"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.75,1080x1920,05_CUSTO BENEFÍCIO.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1080x1920/05_CUSTO BENEFÍCIO.png"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.6,1920x1080,04_CUSTO BENEFÍCIO.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/1920x1080/04_CUSTO BENEFÍCIO.png"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.6,1080x1080,04_CUSTO BENEFÍCIO.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/1080x1080/04_CUSTO BENEFÍCIO.png"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.6,1080x1920,04_CUSTO BENEFÍCIO.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/1080x1920/04_CUSTO BENEFÍCIO.png"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1920x1080,04_WHATSAPP INCLUÍDO.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1920x1080/04_WHATSAPP INCLUÍDO.png"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1920x1080,07_GB E PREÇO 2.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1920x1080/07_GB E PREÇO 2.png"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1920x1080,02_CHIP GRÁTIS.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1920x1080/02_CHIP GRÁTIS.png"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1920x1080,08_GB E PREÇO HUMANIZADO.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1920x1080/08_GB E PREÇO HUMANIZADO.png"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1920x1080,06_CONTA SEM SURPRESAS.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1920x1080/06_CONTA SEM SURPRESAS.png"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1920x1080,03_LÍDER EM 5G.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1920x1080/03_LÍDER EM 5G.png"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1920x1080,01_GB E PREÇO.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1920x1080/01_GB E PREÇO.png"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1080x1080,04_WHATSAPP INCLUÍDO.jpg,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1080x1080/04_WHATSAPP INCLUÍDO.jpg"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1080x1080,07_GB E PREÇO 2.jpg,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1080x1080/07_GB E PREÇO 2.jpg"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1080x1080,02_CHIP GRÁTIS.jpg,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1080x1080/02_CHIP GRÁTIS.jpg"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1080x1080,08_GB E PREÇO HUMANIZADO.jpg,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1080x1080/08_GB E PREÇO HUMANIZADO.jpg"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1080x1080,06_CONTA SEM SURPRESAS.jpg,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1080x1080/06_CONTA SEM SURPRESAS.jpg"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1080x1080,03_LÍDER EM 5G.jpg,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1080x1080/03_LÍDER EM 5G.jpg"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1080x1080,01_GB E PREÇO.jpg,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1080x1080/01_GB E PREÇO.jpg"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1080x1920,04_WHATSAPP INCLUÍDO.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1080x1920/04_WHATSAPP INCLUÍDO.png"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1080x1920,07_GB E PREÇO 2.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1080x1920/07_GB E PREÇO 2.png"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1080x1920,02_CHIP GRÁTIS.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1080x1920/02_CHIP GRÁTIS.png"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1080x1920,08_GB E PREÇO HUMANIZADO.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1080x1920/08_GB E PREÇO HUMANIZADO.png"
False,tim-con_perene_conversao_pedido_socialads_asc_cpm_nacional_facebook_gross_kv-custo-beneficio_27gb-38m_estatico,facebook,asc,gross,27gb-38m,kv-custo-beneficio,estatico,"R$55,431.97",3747672,15740,5176,243,R$0.01,R$3.52,R$10.71,R$228.12,0.42%,0.14%,0.01%,32.88%,1.54%,1,0.5,1080x1920,06_CONTA SEM SURPRESAS.png,"Tim Controle Mes Agosto 25 Performance OFERTAS _BTL_/(NOVO MATERIAL) PORTABILIDADE 27GB POR R$38,99/1º IMPACTO/ESTATICAS/META/LINHAS ALTERNATIVAS/VARIAÇÕES META ASC/1080x1920/06_CONTA SEM SURPRESAS.png"
