sector,quarter,date,weighted_P/E,n_P/E,weighted_ROE,n_ROE,weighted_P/E_lower,weighted_P/E_upper,weighted_ROE_lower,weighted_ROE_upper
Communication Services,2018Q1,2018-01-01,41.1157,2,5.5486,10,,,3.1506,8.0515
Communication Services,2018Q2,2018-04-01,18.6880,2,6.2186,10,,,4.1912,7.5978
Communication Services,2018Q3,2018-07-01,34.0170,2,5.2895,10,21.9392,32.9420,3.4496,6.4268
Communication Services,2018Q4,2018-10-01,32.2704,2,9.7255,10,8.2625,31.0203,4.7406,20.0388
Communication Services,2019Q1,2019-01-01,78.0639,2,3.4823,12,13.0932,86.6865,2.8786,17.5183
Communication Services,2019Q2,2019-04-01,48.2323,2,7.3160,12,21.0221,82.2351,3.2719,14.7575
Communication Services,2019Q3,2019-07-01,48.8937,2,7.0940,12,20.6007,80.6335,2.9708,15.4587
Communication Services,2019Q4,2019-10-01,14.5942,2,15.7974,11,18.2656,80.6335,2.9708,14.9058
Communication Services,2020Q1,2020-01-01,38.7596,1,5.2364,12,18.1024,42.9712,3.5979,14.9058
Communication Services,2020Q2,2020-04-01,78.7617,1,-6.6997,11,18.2656,74.4939,3.3530,14.8586
Communication Services,2020Q3,2020-07-01,147.7738,2,14.8132,10,23.1702,73.3290,3.3939,12.7001
Communication Services,2020Q4,2020-10-01,157.9456,2,22.9183,11,17.8497,73.3290,3.3939,22.4238
Communication Services,2021Q1,2021-01-01,188.7043,2,10.4323,11,25.1934,132.4069,2.2947,20.5371
Communication Services,2021Q2,2021-04-01,,0,7.5631,10,16.1934,143.3065,3.3502,19.2005
Communication Services,2021Q3,2021-07-01,,0,3.7736,11,,,3.8208,14.0368
Communication Services,2021Q4,2021-10-01,138.1241,1,26.8474,11,,,3.8208,8.8596
Communication Services,2022Q1,2022-01-01,176.0332,1,6.5970,11,,,0.4565,7.9130
Communication Services,2022Q2,2022-04-01,,0,-0.4836,11,,,-0.9557,7.0822
Communication Services,2022Q3,2022-07-01,105.4089,1,-5.3505,11,,,-0.9557,7.5533
Communication Services,2022Q4,2022-10-01,32.4996,1,5.7392,12,,,-0.9557,1.6877
Communication Services,2023Q1,2023-01-01,,0,3.4901,9,,,-1.0716,2.5237
Communication Services,2023Q2,2023-04-01,,0,-5.5686,10,,,-9.4617,7.4163
Communication Services,2023Q3,2023-07-01,,0,13.2287,11,,,-3.6817,12.6420
Communication Services,2023Q4,2023-10-01,,0,5.5393,10,,,-5.2049,13.7768
Consumer Discretionary,2018Q1,2018-01-01,74.3976,9,3.4556,32,60.8533,91.3826,-16.3174,22.6272
Consumer Discretionary,2018Q2,2018-04-01,84.3185,8,-1.5203,34,67.5870,92.9357,-14.7363,14.5223
Consumer Discretionary,2018Q3,2018-07-01,79.0877,10,3.2781,38,69.7434,89.6761,-9.3885,11.1098
Consumer Discretionary,2018Q4,2018-10-01,49.4243,10,9.0783,39,62.5435,83.0533,-3.8200,10.6929
Consumer Discretionary,2019Q1,2019-01-01,86.1595,8,5.8283,34,61.8721,87.4117,-2.7510,10.0037
Consumer Discretionary,2019Q2,2019-04-01,72.6979,8,3.8905,38,59.5773,85.3509,-0.0496,10.1705
Consumer Discretionary,2019Q3,2019-07-01,66.5320,9,-5.2211,38,55.6872,82.4663,-7.2943,10.0886
Consumer Discretionary,2019Q4,2019-10-01,34.3941,11,14.6008,37,47.2180,76.3008,-4.7578,11.9213
Consumer Discretionary,2020Q1,2020-01-01,52.3326,8,25.4234,39,40.3693,71.6452,-2.7301,20.6667
Consumer Discretionary,2020Q2,2020-04-01,80.5932,4,-11.8592,40,35.2496,70.7070,-7.0511,17.9559
Consumer Discretionary,2020Q3,2020-07-01,70.8372,8,-3.4638,41,37.8955,71.2733,-6.2778,14.6955
Consumer Discretionary,2020Q4,2020-10-01,32.8250,6,7.0750,40,39.5006,74.7234,-6.4616,13.5273
Consumer Discretionary,2021Q1,2021-01-01,87.2754,9,-6.7216,44,45.8825,88.7014,-12.0677,4.6536
Consumer Discretionary,2021Q2,2021-04-01,149.8542,8,0.6771,43,56.0221,135.7097,-7.9580,4.9895
Consumer Discretionary,2021Q3,2021-07-01,48.5357,8,5.2472,43,51.0983,136.5872,-5.5954,6.5614
Consumer Discretionary,2021Q4,2021-10-01,44.8753,8,13.7532,41,49.9657,125.8258,-3.2690,10.2215
Consumer Discretionary,2022Q1,2022-01-01,47.6932,8,13.1471,42,43.2967,124.8966,2.3669,14.1251
Consumer Discretionary,2022Q2,2022-04-01,37.4653,8,6.0791,44,31.9624,57.3821,4.5440,15.5532
Consumer Discretionary,2022Q3,2022-07-01,57.4278,8,6.2979,44,34.3535,57.8097,4.3166,14.5871
Consumer Discretionary,2022Q4,2022-10-01,26.2661,8,24.3845,43,29.9448,51.3423,6.1480,19.3413
Consumer Discretionary,2023Q1,2023-01-01,,0,9.2270,29,28.6888,49.1225,5.5836,18.8928
Consumer Discretionary,2023Q2,2023-04-01,,0,5.6273,34,26.3854,53.3835,5.0970,18.4781
Consumer Discretionary,2023Q3,2023-07-01,,0,5.6160,38,12.1885,39.5458,4.8995,19.8110
Consumer Discretionary,2023Q4,2023-10-01,,0,24.7338,34,,,5.1161,20.7225
Consumer Staples,2018Q1,2018-01-01,55.8018,7,13.7341,20,37.4871,76.5031,5.8841,21.6249
Consumer Staples,2018Q2,2018-04-01,39.4817,6,4.0834,22,49.9430,74.7113,-6.7124,18.9354
Consumer Staples,2018Q3,2018-07-01,64.8709,7,18.1925,22,51.8766,72.6946,1.7425,20.7883
Consumer Staples,2018Q4,2018-10-01,68.6648,7,14.3111,21,55.1987,73.6485,4.3927,19.2991
Consumer Staples,2019Q1,2019-01-01,73.7572,5,10.1061,22,62.3498,79.4992,3.8693,18.8636
